0,1,2,3
Kabab King Restaurant,Chicken Hyderabadi,₹150,
Kabab King Restaurant,Boneless Butter Chicken,₹165,
Kabab King Restaurant,Chicken Mughlai,₹150,
Kabab King Restaurant,Paratha,₹35,
Kabab King Restaurant,Chapati,₹30,
Kabab King Restaurant,Tawa Paratha,₹35,
Kabab King Restaurant,Paneer Roll,₹99,
Kabab King Restaurant,Veg Roll,₹70,
Kabab King Restaurant,Paneer Egg Roll,₹109,
Kabab King Restaurant,Egg Roll,₹75,
Kabab King Restaurant,Double Egg Roll,₹85,
Kabab King Restaurant,Chicken Roll,₹99,
Kabab King Restaurant,Egg Chicken Roll,₹110,
Kabab King Restaurant,Double Egg Chicken Roll,₹120,
Kabab King Restaurant,Egg Chilli,₹115,
Kabab King Restaurant,Egg Manchurian,₹110,
Kabab King Restaurant,Egg 65,₹115,
Kabab King Restaurant,Egg Bhurji,₹70,
Kabab King Restaurant,Omelette,₹50,
Kabab King Restaurant,Boiled Egg [2 Eggs],₹50,
Kabab King Restaurant,Fresh Lime Juice,₹40,
Kabab King Restaurant,Muskmelon Juice,₹50,
Kabab King Restaurant,Water Melon Juice [250ml],₹50,
Kabab King Restaurant,Oreo Shake,₹80,
Kabab King Restaurant,Cold Coffee Shake,₹60,
Kabab King Restaurant,Sweet Lassi,₹50,
Kabab King Restaurant,Buttermilk,₹40,
Kabab King Restaurant,Muskmelon Thickshake,₹60,
Kabab King Restaurant,Banana Thickshake,₹60,
Kabab King Restaurant,Double Egg Fried Rice [Pack of 2],₹190,
Kabab King Restaurant,Paneer Noodles [Pack of 2],₹220,
Shyamji's Chole Bhature,Chole Bhature,₹135,"Purely Delhi style light, soft and fluffy bhature served with spicy and tangy ... read more"
Shyamji's Chole Bhature,Bedmi Puri (3 Pcs),₹175,
Shyamji's Chole Bhature,Rajma Chawal,₹165,Dish consisting of cooked kidney beans is excitingly flavoured with a wide array ... read more
Shyamji's Chole Bhature,Sweet Malai Lassi,₹100,Creamy thick lassi with a layer of malai. You need to try this ... read more
Shyamji's Chole Bhature,Kadhi Chawal,₹165,Kadhi chawal is a universal favorite for all North Indians. This curry is ... read more
Shyamji's Chole Bhature,Bedmi Puri (3 Pcs),₹175,
Shyamji's Chole Bhature,Chole Bhature,₹135,"Purely Delhi style light, soft and fluffy bhature served with spicy and tangy ... read more"
Shyamji's Chole Bhature,Extra Bhatura,₹70,
Shyamji's Chole Bhature,Extra Chole,₹80,
Shyamji's Chole Bhature,Extra Puri (2 Pcs),₹60,
Shyamji's Chole Bhature,Chole Chawal,₹165,"Authentic Delhi style spiced, fragrant and delish slow cooked chole. Rice made with ... read more"
Shyamji's Chole Bhature,Kadhi Chawal,₹165,Kadhi chawal is a universal favorite for all North Indians. This curry is ... read more
Shyamji's Chole Bhature,Paneer Curry Chawal (Shahi Paneer),₹195,Originating with the creamy delicacies of Mughlai cuisine  This dish is prepared ... read more
Shyamji's Chole Bhature,Rajma Chawal,₹165,Dish consisting of cooked kidney beans is excitingly flavoured with a wide array ... read more
Shyamji's Chole Bhature,Gulab Jamoon,₹40,Melt in mouth gulab jamun that will fulfill your sweet cravings for the ... read more
Shyamji's Chole Bhature,Rabdi,₹85,Rich and thick rabdi made from full cream milk. You will definitely crave ... read more
Shyamji's Chole Bhature,Rabdi Gulab Jamoon,₹110,
Shyamji's Chole Bhature,Chaas,₹80,"Creamy summer drink made of Curd with blend of Dhania & Roasted Jeera, ... read more"
Shyamji's Chole Bhature,Sweet Malai Lassi,₹100,Creamy thick lassi with a layer of malai. You need to try this ... read more
ibaco,Butterscotch Bliss Ice Cream (95 gms),₹119.13,Butterscotch flavoured ice cream with cashew praline + walnut praline
ibaco,Sea Salt Caramel Pecan Ice Cream (95 gms),₹119.13,"Caramel and pecan serve up a treat that is part salty, part nutty"
ibaco,Tender Coconut Terrain Ice Cream (95 gms),₹119.13,Creamy ice cream with a rich coconut flavour. A treat for all coconut ... read more
ibaco,Cream 'N' Cookies Ice Cream (95 gms),₹119.13,Natural vanilla flavoured ice cream with crushed cookies
ibaco,Mango Kingdom Ice Cream (95 gms),₹119.13,Mango flavoured ice cream with chunks of mango
ibaco,Butterscotch Bliss Ice Cream (95 gms),₹119.13,Butterscotch flavoured ice cream with cashew praline + walnut praline
ibaco,Chocolate Over Load Ice cream (95 gms),₹119.13,A deep and rich chocolate flavour that truly defines indulgence
ibaco,Chocolate Over Load Ice Cream Cake [Serves 6],₹1003,A heavenly chocolate cake base interspersed with chocolate ice cream and topped with ... read more
ibaco,Mango Italian Fiesta Ice Cream Cake [Serves 6],₹1003,Swiss Choco Symphony Ice Cream Cake
ibaco,Fruit N Blackcurrant Drizzle Ice cream Cake [Serves 6],₹1003,"Blackcurrant, vanilla flavoured fruit bonanza ice cream with assorted nuts."
ibaco,Ibaco Chocolate [250 grams],₹312.50,An assortment of the finest chocolates. You can pick any 10 of your ... read more
ibaco,Peach & Strawberry Duet Ice Cream [95 Grams],₹119.13,Peach & Strawberry flavoured ice cream with peach chunks & strawberry sauce.
ibaco,Ice Cream Shake [Serves 1],₹171.80,"Indulge in deliciously smooth ice cream shakes, crafted with original Ibaco ice creams, ... read more"
ibaco,Ibaco Chocolate [100 grams],₹125,An assortment of the finest chocolates. You can pick any 6 of your ... read more
ibaco,Cotton Candy Ice Cream (95 gms),₹119.13,This is what sweet memories are made of!
ibaco,Maha Raj Bhog Ice Cream (95 gms),₹119.13,"Saffron flavoured ice cream basundi, milkmaid, saffron, cardamom, pistachio, almond & cashew nuts"
ibaco,Lychee Valley Ice Cream [95 grams],₹119.13,Lychee flavoured ice cream with lychee fruit
ibaco,Black Forest Ice Cream (95 gms),₹119.13,Experience a side of Blackforest you've never known before
ibaco,Italian Wonder Ice Cream (95 gms),₹119.13,"Natural vanilla flavoured ice cream with cashew, raisins and a combination of 3 ... read more"
ibaco,Electric Blackcurrant Ice Cream (95 gms),₹119.13,Blackcurrant flavoured cream with blackcurrant fruit
ibaco,Californian Pistachio Ice Cream (95 gms),₹119.13,"Pistachios rich in flavour, and with that unmistakable Californian swagger."
ibaco,Belgian Chocoholic Ice Cream (95 gms),₹119.13,Belgian cocoa powder based ice cream
ibaco,Ibaco Chocolate [100 grams],₹125,An assortment of the finest chocolates. You can pick any 6 of your ... read more
ibaco,Ibaco Chocolate [250 grams],₹312.50,An assortment of the finest chocolates. You can pick any 10 of your ... read more
ibaco,Ibaco Chocolate [500 grams],₹625,An assortment of the finest chocolates. You can pick any 10 of your ... read more
ibaco,Ibaco Chocolate [1 kg],₹1250,An assortment of the finest chocolates. You can pick any 10 of your ... read more
ibaco,Ibaco Chocolate Bar [100 grams],₹125,Ibaco's assorted chocolate bar box. Pick any 2 of your preferred flavours.
ibaco,Ibaco Chocolate Bar [250 grams],₹312.50,Ibaco's assorted chocolate bar box. Pick any 4 of your preferred flavours.
ibaco,Ibaco Chocolate Bar [500 grams],₹625,Ibaco's assorted chocolate bar box. Pick any 4 of your preferred flavours.
ibaco,Ibaco Square Milk Chocolate [10 Pieces],₹93.22,"Squares milk chocolate exquisite, melt n the mouth milk chocolates."
ibaco,Ibaco Square Dark Chocolate,₹93.22,Squares dark chocolate deliciously rich dark chocolates.
ibaco,Chocolate Over Load Ice Cream Cake [Serves 6],₹1003,A heavenly chocolate cake base interspersed with chocolate ice cream and topped with ... read more
ibaco,Fruit N Blackcurrant Drizzle Ice cream Cake [Serves 6],₹1003,"Blackcurrant, vanilla flavoured fruit bonanza ice cream with assorted nuts."
ibaco,Mango Italian Fiesta Ice Cream Cake [Serves 6],₹1003,Swiss Choco Symphony Ice Cream Cake
ibaco,Swiss Choco Symphony Ice Cream Cake [Serves 6],₹1003,"Swiss chocolate, white chocolate ice cream coated with chocolate chips."
ibaco,Butterscotch Almond Amore Ice cream Cake [Serves 10],₹1663,Butterscotch + Vanilla based almond crunch ice cream + Almonds +White Choco Shavings
ibaco,Ice Cream Shake [Serves 1],₹171.80,"Indulge in deliciously smooth ice cream shakes, crafted with original Ibaco ice creams, ... read more"
ibaco,Almond Crunch Ice Cream (95 gms),₹119.13,Crunchy almonds with subtle vanilla
ibaco,Bean Vanilla Ice Cream (95 gms),₹119.13,Natural vanilla flavoured ice cream with vanilla bean powder
ibaco,Belgian Chocoholic Ice Cream (95 gms),₹119.13,Belgian cocoa powder based ice cream
ibaco,Black Forest Ice Cream (95 gms),₹119.13,Experience a side of Blackforest you've never known before
ibaco,Blackberry Violet Ice Cream (95 gms),₹119.13,The dark delicious creamy side of blackberry.
ibaco,Blueberry Cheese Cake Ice Cream (95 gms),₹119.13,Surrender to the charms of blueberry and cheese
ibaco,Butterscotch Bliss Ice Cream (95 gms),₹119.13,Butterscotch flavoured ice cream with cashew praline + walnut praline
ibaco,Californian Pistachio Ice Cream (95 gms),₹119.13,"Pistachios rich in flavour, and with that unmistakable Californian swagger."
ibaco,Chocolate Over Load Ice cream (95 gms),₹119.13,A deep and rich chocolate flavour that truly defines indulgence
ibaco,Coffee and Cream Ice Cream (95 gms),₹119.13,A refreshingly charming blend of coffee & Cream to wake your palate up.
ibaco,Cotton Candy Ice Cream (95 gms),₹119.13,This is what sweet memories are made of!
ibaco,Cream 'N' Cookies Ice Cream (95 gms),₹119.13,Natural vanilla flavoured ice cream with crushed cookies
ibaco,Dark Chocolate Secrets Ice Cream (95 gms),₹119.13,Chocolate flavoured ice cream with chocolate buttons
ibaco,Electric Blackcurrant Ice Cream (95 gms),₹119.13,Blackcurrant flavoured cream with blackcurrant fruit
ibaco,Fig 'N' Honey Ice Cream (95 gms),₹119.13,Honey flavoured ice cream with fig fruit crush
ibaco,Fresh Strawberry Ice Cream (95 gms),₹119.13,Strawberry flavoured ice cream strawberry fruit crush
ibaco,Fruit Bonanza Ice Cream (95 gms),₹119.13,"Vanilla flavoured ice cream with fig, blackcurrant, pineapple, raisins, cashews & tutty fruity"
ibaco,Italian Wonder Ice Cream (95 gms),₹119.13,"Natural vanilla flavoured ice cream with cashew, raisins and a combination of 3 ... read more"
ibaco,Kiwi Passionfruit Exotica Ice Cream [95 grams],₹119.13,"Passionfruit, kiwi and apple come together to give you a taste of the ... read more"
ibaco,Lychee Valley Ice Cream [95 grams],₹119.13,Lychee flavoured ice cream with lychee fruit
ibaco,Maha Raj Bhog Ice Cream (95 gms),₹119.13,"Saffron flavoured ice cream basundi, milkmaid, saffron, cardamom, pistachio, almond & cashew nuts"
ibaco,Mango Kingdom Ice Cream (95 gms),₹119.13,Mango flavoured ice cream with chunks of mango
ibaco,Mocha Fudge Ice Cream (95 gms),₹119.13,Nothing like indulging in a scoop of divine mocha magic
ibaco,Red Velvet Ice Cream (95 gms),₹119.13,Indulge in a generous scoop of Red Velvet Love
ibaco,Sea Salt Caramel Pecan Ice Cream (95 gms),₹119.13,"Caramel and pecan serve up a treat that is part salty, part nutty"
ibaco,Strawberry Cheese Cake Ice Cream (95 gms),₹119.13,"A traditional western dessert reinvented, rediscovered and  ready to be enjoyed"
ibaco,Swiss Chocolate Ice Cream (95 gms),₹119.13,The finest flavours from the happiest country in the world
ibaco,Tender Coconut Terrain Ice Cream (95 gms),₹119.13,Creamy ice cream with a rich coconut flavour. A treat for all coconut ... read more
ibaco,Tropical Jackfruit Ice Cream (95 gms),₹119.13,Ice cream flavoured and filled with jackfruit pulp
ibaco,Caramelized Biscuit Marvel Ice Cream [95 grams],₹119.13,"Rich creaminess combiness with delectable, buttery biscuit flavours to bring you new levels ... read more"
ibaco,Vanilla Choco Berry Ice Cream [95 grams],₹119.13,"Vanilla, chocolate & berry sit back & enjoy as 3 classic flavours vie ... read more"
ibaco,Vanilla Choco Chips Ice Cream (95 gms),₹119.13,Natural vanilla flavoured ice cream with chocolate buttons & chocolate fudge
ibaco,Peach & Strawberry Duet Ice Cream [95 Grams],₹119.13,Peach & Strawberry flavoured ice cream with peach chunks & strawberry sauce.
ibaco,White Chocolate Ice Cream [95 grams],₹119.13,100% Creamy cocoa butter blended with white chocolate.
ibaco,Ice Cream Scoops - 200 Gms,₹250.80,[Serves 1-2]
ibaco,Ice Cream Scoop - 300 Gms,₹376.20,Ice Cream Scoops - 300 Gms - Serves 2-3
ibaco,Ice Cream Scoops - 500 Gms,₹627,Ice Cream Scoops - 500 Gms - Serves 4-5
ibaco,Ice Cream Scoops - 1 Kg,₹1254,Ice Cream Scoops - 1 Kg - Serves 9-10
Uttam Sagar,Masala Dosa,₹75,Masala dosa served with chutney and sambar.
Uttam Sagar,Idli Vada,₹80,Idli [2 pieces] and vada served with chutney and sambar.
Uttam Sagar,Set Dosa,₹75,Set dosa served with chutney and sambar.
Uttam Sagar,Butter Masala Dosa,₹85,Butter masala dosa served with chutney and sambar.
Uttam Sagar,Kesari Bath,₹35,serves 1
Uttam Sagar,South Meal,₹80,Poori+Rice+Sambar+Rasam+Buttermilk+Papad
Uttam Sagar,Poori Saagu,₹75,Poori served with chutney and saagu.
Uttam Sagar,Gobi Manchurian,₹119,
Uttam Sagar,Vada,₹40,Vada served with chutney and sambar.
Uttam Sagar,Roti Curry,₹89,2 Roti along with cup of dal and cup of veg curry.
Uttam Sagar,Paneer Butter Masala,₹175,"Paneer butter masala is essentially cooked in butter, has a smooth silky curry ... read more"
Uttam Sagar,Paneer Fried Rice,₹135,A delightfully delicious combo of paneer fried rice served with gobi Manchurian and ... read more
Uttam Sagar,Idli [2 Pieces],₹45,Served with chutney and sambar.
Uttam Sagar,Pulao,₹60,(Serve 1)
Uttam Sagar,Chana Bhatura,₹80,
Uttam Sagar,Veg Pulao,₹100,A wholesome dish prepared by cooking chopped vegetables and rice in a flavorful ... read more
Uttam Sagar,Mughlai Biryani,₹159,Mughlai biryani served with raita.
Uttam Sagar,Paneer Chilli,₹169,A delightfully flavorful dish prepared with soft paneer and slow cooked with flavorful ... read more
Uttam Sagar,Baby Corn Kebab,₹149,
Uttam Sagar,Masala Dosa+Kesari Bath+Tea,₹130,Masala Dosa+Kesari Bath+Tea
Uttam Sagar,Rava Idli,₹50,Rava idli served with chutney and sagu.
Uttam Sagar,Thatte Idli,₹30,Thatte idli served with chutney and sambar.
Uttam Sagar,Paneer Tikka Masala,₹180,
Uttam Sagar,Onion Dosa,₹80,Onion dosa served with chutney and sambar.
Uttam Sagar,Ghee Roast Masala Dosa,₹90,Ghee roast masala dosa served with chutney and sambar.
Uttam Sagar,Plain Dosa,₹60,Plain dosa served with chutney and sambar.
Uttam Sagar,Veg Biryani,₹110,Veg biryani served with raita.
Uttam Sagar,Dal Khichdi,₹119,Dal kichidi served with raita.
Uttam Sagar,Kadai Paneer,₹185,Juicy chunks of cottage cheese cooked with assorted vegetables and whole spices.
Uttam Sagar,Paneer Pepper Dry,₹179,
Uttam Sagar,Kaju Masala,₹210,
Uttam Sagar,Veg Kofta,₹150,
Uttam Sagar,Veg Fried Rice,₹110,(Serve 1)
Uttam Sagar,Mushroom Biryani,₹159,Mushroom biryani served with raita.
Uttam Sagar,Veg Handi Biryani,₹159,Veg handi biryani served with raita.
Uttam Sagar,Mushroom Pepper Dry,₹159,
Uttam Sagar,Curd Rice,₹60,
Uttam Sagar,Plain Cheese Dosa,₹95,Plain cheese dosa served with chutney and sambar.
Uttam Sagar,Cheese Masala Dosa,₹99,Cheese masala dosa served with chutney and sambar.
Uttam Sagar,Paneer Kebab,₹159,
Uttam Sagar,Masala Dosa+Kesari Bath+Tea,₹130,Masala Dosa+Kesari Bath+Tea
Uttam Sagar,2Idli+1 Vada+Plain Dosa+Coffee,₹170,"2Idli,1 Vada+Plain Dosa+Coffee"
Uttam Sagar,Poori Sagu+Rice Bath+Tea,₹155,Poori Sagu+Rice Bath+Tea
Uttam Sagar,Butter Masala Dosa+Idli [2 Pieces]+Coffee,₹155,Butter Masala Dosa+Idli 2pc+Coffee
Uttam Sagar,Thatte Idli with Vada [1 Piece] and Tea,₹90,1 Thatte Idli+1 Vada [1 Piece]+1 Tea+1 Chutney+1 Sambar
Uttam Sagar,Onion Dosa with Set Dosa and Tea,₹175,1 Onion Dosa+1 Set Dosa+1 Tea+1 Chutney+1 Sambar
Uttam Sagar,Rava Idli,₹50,Rava idli served with chutney and sagu.
Uttam Sagar,Idli [2 Pieces],₹45,Served with chutney and sambar.
Uttam Sagar,Thatte Idli,₹30,Thatte idli served with chutney and sambar.
Uttam Sagar,Vada,₹40,Vada served with chutney and sambar.
Uttam Sagar,Idli Vada,₹80,Idli [2 pieces] and vada served with chutney and sambar.
Uttam Sagar,Pulao,₹60,(Serve 1)
Uttam Sagar,Curd Vada,₹50,
Uttam Sagar,Rice Bath,₹60,
Uttam Sagar,Kesari Bath,₹35,serves 1
Uttam Sagar,Poori Saagu,₹75,Poori served with chutney and saagu.
Uttam Sagar,Plain Dosa,₹60,Plain dosa served with chutney and sambar.
Uttam Sagar,Set Dosa,₹75,Set dosa served with chutney and sambar.
Uttam Sagar,Masala Dosa,₹75,Masala dosa served with chutney and sambar.
Uttam Sagar,Onion Dosa,₹80,Onion dosa served with chutney and sambar.
Uttam Sagar,Ghee Roast Masala Dosa,₹90,Ghee roast masala dosa served with chutney and sambar.
Uttam Sagar,Butter Masala Dosa,₹85,Butter masala dosa served with chutney and sambar.
Uttam Sagar,Ghee Masala Dosa,₹90,Ghee roast dosa served with chutney and sambar.
Uttam Sagar,Neer Dosa,₹65,Neer dosa served with chutney.
Uttam Sagar,Plain Butter Dosa,₹75,Plain butter dosa served with chutney and sambar.
Uttam Sagar,Paper Masala Dosa,₹120,Paper masala dosa served with chutney and sambar.
Uttam Sagar,Paper Plain Dosa,₹110,Paper plain dosa served with chutney and sambar.
Uttam Sagar,Open Butter Masala Dosa,₹90,Open dosa served with chutney and sambar.
Uttam Sagar,Cheese Masala Dosa,₹99,Cheese masala dosa served with chutney and sambar.
Uttam Sagar,Plain Cheese Dosa,₹95,Plain cheese dosa served with chutney and sambar.
Uttam Sagar,Kali Dosa,₹70,Kali dosa served with chutney and sambar.
Uttam Sagar,Butter Kali Dosa,₹90,Butter kali dosa served with chutney and sambar.
Uttam Sagar,Ghee Kali Dosa,₹90,Ghee kali dosa served with chutney and sambar.
Uttam Sagar,Cheese Open Dosa,₹95,Cheese open dosa served with chutney and sambar.
Uttam Sagar,Rava Dosa,₹85,Rava dosa served with chutney and sambar.
Uttam Sagar,Rava Masala Dosa,₹90,Rava masala dosa served with chutney and sambar.
Uttam Sagar,Rava Onion Dosa,₹95,Rava onion dosa served with chutney and sambar.
Uttam Sagar,Akki Roti,₹60,
Uttam Sagar,Ragi Roti,₹60,
Uttam Sagar,Roti Curry,₹89,2 Roti along with cup of dal and cup of veg curry.
Uttam Sagar,Rice Sambar,₹45,Rice+Sambar
Uttam Sagar,South Meal,₹80,Poori+Rice+Sambar+Rasam+Buttermilk+Papad
Uttam Sagar,Tomato Soup,₹60,
Uttam Sagar,Hot and Sour Soup,₹80,
Uttam Sagar,Veg Manchow Soup,₹80,
Uttam Sagar,Veg Clear Soup,₹70,
Uttam Sagar,Paneer Kebab,₹159,
Uttam Sagar,Mushroom Kebab,₹149,(Serve 1)
Uttam Sagar,Baby Corn Kebab,₹149,
Uttam Sagar,Mixed Veg Kebab,₹110,
Uttam Sagar,Gobi Kebab,₹119,
Uttam Sagar,Gobi Manchurian,₹119,
Uttam Sagar,Gobi 65,₹129,
Uttam Sagar,Gobi Chilli,₹129,
Uttam Sagar,Gobi Pepper Dry,₹129,
Uttam Sagar,Paneer Manchurian,₹149,"Soft paneer chunks dipped in batter, fried to golden crispiness and tossed in ... read more"
Uttam Sagar,Paneer Chilli,₹169,A delightfully flavorful dish prepared with soft paneer and slow cooked with flavorful ... read more
Uttam Sagar,Paneer Pepper Dry,₹179,
Uttam Sagar,Mushroom Manchurian,₹139,"Deep-fried, crispy meaty mushrooms tossed in a thick and spicy Manchurian gravy."
Uttam Sagar,Mushroom Chilli,₹149,
Uttam Sagar,Mushroom Pepper Dry,₹159,
Uttam Sagar,Baby Corn Manchurian,₹139,"A delightfully tasty dish with crunchy baby corn coated in Manchurian sauces, assorted ... read more"
Uttam Sagar,Baby Corn Chilli,₹149,
Uttam Sagar,Baby Corn Pepper Dry,₹159,
Uttam Sagar,Veg Ball Manchurian,₹130,
Uttam Sagar,Veg Ball Chilli,₹135,
Uttam Sagar,Plain Palak,₹149,
Uttam Sagar,Chana Masala,₹140,
Uttam Sagar,Capsicum Masala,₹149,
Uttam Sagar,Mixed Veg Curry,₹149,
Uttam Sagar,Kadai Mixed Veg Curry,₹159,
Uttam Sagar,Veg Kolhapuri,₹159,
Uttam Sagar,Veg Hyderabadi,₹159,
Uttam Sagar,Veg Kofta,₹150,
Uttam Sagar,Malai Kofta,₹189,Soft chunks of cottage cheese koftas simmered in creamy sweet cashew gravy.
Uttam Sagar,Mushroom Masala,₹179,"Mushroom masala is delicious Indian curry made with mushroom, onions, tomatos,spices and herbs."
Uttam Sagar,Kadai Mushroom,₹185,
Uttam Sagar,Baby Corn Green Masala,₹175,
Uttam Sagar,Baby Corn Mushroom Masala,₹179,
Uttam Sagar,Navratan Korma,₹189,
Uttam Sagar,Kaju Masala,₹210,
Uttam Sagar,Kaju Matar,₹210,
Uttam Sagar,Aloo Gobi,₹140,
Uttam Sagar,Aloo Matar,₹140,
Uttam Sagar,Aloo Jeera Dry,₹160,
Uttam Sagar,Veg Do Pyaza,₹175,
Uttam Sagar,Veg Pepper Masala,₹140,
Uttam Sagar,Dum Aloo Kashmiri,₹140,
Uttam Sagar,Stuffed Aloo,₹150,
Uttam Sagar,Malai Methi Matar,₹179,
Uttam Sagar,Veg Korma,₹140,
Uttam Sagar,Peas Masala,₹159,
Uttam Sagar,Paneer Butter Masala,₹175,"Paneer butter masala is essentially cooked in butter, has a smooth silky curry ... read more"
Uttam Sagar,Matar Paneer,₹175,
Uttam Sagar,Paneer Korma,₹180,
Uttam Sagar,Palak Paneer,₹179,
Uttam Sagar,Veg Shahi Paneer,₹185,
Uttam Sagar,Paneer Tikka Masala,₹180,
Uttam Sagar,Kadai Paneer,₹185,Juicy chunks of cottage cheese cooked with assorted vegetables and whole spices.
Uttam Sagar,Paneer Kofta,₹189,
Uttam Sagar,Chana Paneer,₹145,
Uttam Sagar,Dal Fry,₹110,
Uttam Sagar,Dal Tadka,₹125,
Uttam Sagar,Dal Palak,₹140,
Uttam Sagar,Palak Rice,₹119,
Uttam Sagar,Dal Khichdi,₹119,Dal kichidi served with raita.
Uttam Sagar,Ghee Rice,₹129,
Uttam Sagar,Jeera Rice,₹129,Aromatic rice cooked in a tempering of cumin and whole spices.
Uttam Sagar,Curd Rice,₹60,
Uttam Sagar,Veg Pulao,₹100,A wholesome dish prepared by cooking chopped vegetables and rice in a flavorful ... read more
Uttam Sagar,Peas Pulao,₹139,
Uttam Sagar,Kashmiri Pulao,₹125,
Uttam Sagar,Navratan Pulao,₹130,
Uttam Sagar,Veg Biryani,₹110,Veg biryani served with raita.
Uttam Sagar,Veg Handi Biryani,₹159,Veg handi biryani served with raita.
Uttam Sagar,Hyderabadi Biryani,₹149,Hyderabadi biryani served with raita.
Uttam Sagar,Peas Biryani,₹159,Peas biryani served with raita.
Uttam Sagar,Mushroom Biryani,₹159,Mushroom biryani served with raita.
Uttam Sagar,Mughlai Biryani,₹159,Mughlai biryani served with raita.
Uttam Sagar,Roti,₹27,
Uttam Sagar,Butter Roti,₹33,
Uttam Sagar,Naan,₹45,
Uttam Sagar,Butter Naan,₹50,(Serve 1)
Uttam Sagar,Kulcha,₹40,
Uttam Sagar,Butter Kulcha,₹45,
Uttam Sagar,Butter Garlic Naan,₹80,
Uttam Sagar,Tandoori Paratha,₹55,
Uttam Sagar,Aloo Paratha,₹80,
Uttam Sagar,Stuffed Paratha,₹65,
Uttam Sagar,Cheese Naan,₹75,
Uttam Sagar,Chilli Cheese Kulcha,₹75,
Uttam Sagar,Chana Bhatura,₹80,
Uttam Sagar,Veg Fried Rice,₹110,(Serve 1)
Uttam Sagar,Schezwan Fried Rice,₹125,
Uttam Sagar,Paneer Fried Rice,₹135,A delightfully delicious combo of paneer fried rice served with gobi Manchurian and ... read more
Uttam Sagar,Mushroom Fried Rice,₹135,
Uttam Sagar,Singapore Fried Rice,₹159,
Uttam Sagar,Veg Noodles,₹110,(Serve 1)
Uttam Sagar,Schezwan Noodles,₹125,
Uttam Sagar,Paneer Noodles,₹135,
Uttam Sagar,Mushroom Noodles,₹135,
Uttam Sagar,Payasam [150 ml],₹35,
Uttam Sagar,Paneer Roll,₹95,
Uttam Sagar,Veg Roll,₹85,
Uttam Sagar,Finger Chips,₹75,
Uttam Sagar,Pakoda,₹49,
Uttam Sagar,Filter Coffee,₹25,
Uttam Sagar,Tea,₹25,Chai.
Uttam Sagar,Lemon Tea,₹25,
Uttam Sagar,Sunti Ginger Tea,₹30,
Uttam Sagar,Badam Milk,₹30,
Uttam Sagar,Gulab Jamun [2 Pieces],₹49,
Apna Dhaba,Vip Thali.,₹230.00,"Mix Veg ,Paneer Butter Masala , Dal Makhani ,Raita, Papad Tukdi , 2 ... read more"
Apna Dhaba,Spl. Thali,₹165.00,"Jeera Alu, Chana Masala , Dal , 3 Butter Fulka , Rice , ... read more"
Apna Dhaba,Delux Punjabi Thali 8 CP,₹260.00,"Chana Masala ,Paneer Butter Masala , Dal Makhani,Raita, Papad Tukdi , 1 Tandoori ... read more"
Apna Dhaba,Paneer Butter Masala [250 Ml],₹110.00,
Apna Dhaba,Kadai Paneer [250 Ml],₹125.00,
Apna Dhaba,Paneer Cheese Garlic Paratha,₹150.00,100 Ml Curd And 50 Ml Mint Chatni 10 Grm Mix Achar
Apna Dhaba,Paneer Tikka,₹220.00,8 Pcs Evry Pcs 20 To 25 Grm + Mint Chatni Your Favourite ... read more
Apna Dhaba,Afgani Chaap,₹220.00,"12 To 15 Pcs + Chatni Mint , Made Out Of Soya Proteins, ... read more"
Apna Dhaba,Bhojan Thali,₹165.00,"Jeera Alu , Dal, Raita , Papad Katran , 2 Tandoori Roti , ... read more"
Apna Dhaba,Aloo Paratha,₹62.50,100 Ml Curd And 50 Ml Mint Chatni 10 Grm Mix Achar
Apna Dhaba,Aloo Onion Paratha,₹75.00,100 Ml Curd And 50 Ml Mint Chatni 10 Grm Mix Achar
Apna Dhaba,Chola Kulcha Plain,₹110.00,Pindi Choole 250 Ml + 2 Plan Kulcha + Onion + Chatni
Apna Dhaba,Stuffed Kulcha,₹100.00,Stuffed Vegetable Kulcha Is A Soft And Fluffy Indian Leavened Bread Which Is ... read more
Apna Dhaba,Chef Special Apna Dhaba,₹175.00,250 Ml Mshroom Tikka Masala + 3 Ghee Fulka + Sweet Of Day ... read more
Apna Dhaba,Malai Chaap,₹220.00,12 To 15 Pcs + Chatni Mint Malai Chaap Is A Dish Which ... read more
Apna Dhaba,Dal Tadka [500 Ml],₹150.00,
Apna Dhaba,Chilli Paneer Dry,₹212.50,
Apna Dhaba,Jeera Rice,₹175.00,500 Gram
Apna Dhaba,Butter Naan,₹60.00,"Whether Plain Or Stuffed, Kulchas Taste Best When Paired With?Amritsari Chole, Chana Masala ... read more"
Apna Dhaba,Rajma Rice,₹125.00,Rajma + Rice + Onion + Chatni [ 3 Cp Plate ]
Apna Dhaba,Paneer Butter Masala [500 Ml],₹190.00,
Apna Dhaba,Veg Biriyani,₹175.00,Basmati Rice 750 Cnt + Raita + Onion
Apna Dhaba,Handi Biriyani,₹217.50,Basmati Rice With Paneer Gravy Mix  + Raita + Onion
Apna Dhaba,Maa Loves Thali 5 Cp,₹115.00,"Jeera Alu , Dal, 2 Ghee Fulka , Rice , Achar,Onion"
Apna Dhaba,Dal Tadka [250 Ml],₹125.00,
Apna Dhaba,Paneer Paratha,₹100.00,100 Ml Curd And 50 Ml Mint Chatni 10 Grm Mix Achar
